Iteration,MSE_estimated_MGP_8,MSE_estimated_MGP_7,MSE_estimated_MGP_6,MSE_estimated_MGP_5,MSE_estimated_MGP_4
1,1.6095217e-05,3.8157745e-05,0.0007524639,0.063958466,0.6223537
2,1.17875925e-05,1.554503e-05,2.5470272e-05,0.11898913,0.37076798
3,1.6230648e-05,0.038656432,2.490504e-05,0.0033210653,0.56411254
4,1.1879246e-05,5.1289753e-05,5.24064e-05,0.09652362,0.79390055
5,1.5067428e-05,0.0010161579,0.001618682,0.3153727,0.7818147
6,1.445364e-05,2.2329423e-05,8.1436505e-05,0.10303698,0.33901545
7,8.8304405e-06,0.053751856,0.054710146,0.07490805,0.6191208
8,4.032056e-05,6.933554e-05,0.00031651862,0.04343025,0.9969602
9,5.3453485e-05,0.00025788296,0.014724753,0.019225337,0.32323816
10,3.8377195e-05,4.5677392e-05,0.0010016894,0.17470653,0.05509859
11,5.3447748e-05,2.9355098e-05,4.7065558e-05,0.0007450521,0.7363818
12,3.590286e-05,4.0041024e-05,0.06101156,0.4173644,0.19582607
13,1.374961e-05,0.1822211,0.002243598,0.14373185,0.29813477
14,2.975279e-05,0.012324996,0.057205126,0.055877075,0.42393652
15,1.8823888e-05,3.5628487e-05,0.0022051379,0.118425176,0.2704929
16,1.5619571e-05,2.2742583e-05,0.00088885636,0.06912203,0.16008598
17,3.9423274e-05,0.04236138,0.00025570154,0.031586096,0.17743064
18,2.5023646e-05,0.00016002468,0.005217882,0.07075766,0.36743894
19,2.1602851e-05,1.382904e-05,0.025342379,0.054004952,0.13941133
20,1.9076617e-05,6.238247e-05,0.00028264496,0.048376385,0.39928845
21,2.3691353e-05,2.5513931e-05,0.00012308567,0.059520032,0.39044783
22,2.5120666e-05,5.9023103e-05,0.046024412,5.66855e-05,0.2009219
23,5.8471684e-05,0.13113688,0.03962398,4.0572377e-05,0.34399712
24,0.0059995595,9.6152675e-05,9.195115e-05,0.00022432933,0.0062270733
25,3.4495537e-05,0.011068798,0.041441724,0.07742774,0.5669276
26,1.9924001e-05,9.408602e-05,6.646674e-05,8.90274e-05,0.34469962
27,8.8435765e-05,2.1188907e-05,0.0013058909,0.00034870493,0.1667425
28,2.362154e-05,6.1548664e-05,0.005336658,0.0038000466,0.2907347
29,2.9222683e-05,3.3520402e-05,0.032005098,0.03496172,0.3101872
30,8.42644e-05,0.0054886215,0.0008162544,0.17479855,0.88013196
31,2.4988833e-05,3.7909835e-05,0.000101578764,0.003708301,0.09824781
32,1.39023305e-05,0.00022532667,5.8512884e-05,0.009460657,0.2745376
33,5.355499e-05,0.00014490414,0.014026145,0.2160454,0.16796929
34,2.6890202e-05,0.022594418,0.005436436,0.012170488,0.28860593
35,3.5933106e-05,6.361891e-05,0.00024786126,0.0020770452,0.57681626
36,4.761019e-05,5.017171e-05,6.500884e-05,0.0074915136,0.07887319
37,7.96685e-05,3.3112527e-05,0.033747524,0.00095463294,0.4536161
38,2.6480911e-05,3.8602742e-05,0.10944391,0.002155379,0.19060452
39,3.456005e-05,7.331516e-05,0.00010439848,0.091228954,0.19893368
40,2.6387352e-05,3.0353876e-05,0.016264634,0.0032697106,0.22305349
41,7.531888e-05,0.00013202381,0.084985815,0.015547251,0.1932929
42,2.097939e-05,3.287894e-05,0.09932157,0.093072325,0.046361536
43,1.5921645e-05,0.000114334405,0.0008280069,0.09073009,0.3183554
44,2.858605e-05,0.0015545217,0.022009127,0.00022736468,0.9082814
45,4.4535358e-05,7.565766e-05,6.869196e-05,0.004607134,0.21919633
46,6.969532e-05,0.17130218,0.21082999,0.051280387,0.34734344
47,2.3362762e-05,9.338982e-05,0.086442575,0.07891904,0.3248042
48,4.0960356e-05,0.00017163709,0.020474212,0.0938777,0.0050409622
49,2.9600671e-05,0.00015510226,0.00010083238,0.04151407,0.5783625
50,5.271719e-05,3.923361e-05,7.763779e-05,0.15937522,0.0015333103
