Iteration,MSE_8,MSE_7,MSE_6,MSE_5,MSE_4
1,0.000452233,0.024276733,0.00201717,0.16318619,0.58728963
2,0.000207268,0.000495845,0.010455334,0.3583843,0.6020389
3,0.00016332,0.03950267,0.011587874,0.047124818,0.9696984
4,0.000489869,0.000303412,0.000169871,0.2811806,0.94478184
5,0.000186157,0.008899463,9.729263e-05,0.5147475,0.6405651
6,0.000147891,0.000639218,0.034617994,0.398872,0.5407694
7,0.000261224,0.004641741,0.006168991,0.26364824,0.61262864
8,0.000166524,0.036671083,0.000821089,0.44955105,1.6323947
9,0.000873135,0.000403846,0.004545177,0.15117863,0.19833969
10,0.000130831,0.000285504,0.00032184,0.3054686,0.6248528
11,7.841848e-05,0.000333506,0.003562454,0.5046649,0.73418754
12,0.000621052,0.013435077,0.09135253,0.6562598,0.9989704
13,0.000944703,0.000799414,0.001063179,0.39214423,0.0502078
14,0.001487091,0.014243294,0.01166446,0.24797875,0.47956014
15,0.000335714,0.002810986,0.000209978,0.2994757,0.47838593
16,0.000499383,0.000669152,0.000226364,0.06348263,0.3165984
17,0.000291094,0.014883542,0.013797229,0.2324504,0.580584
18,0.000488352,0.000493843,0.001737904,0.47543067,0.6446407
19,0.000198316,0.27366722,0.001442984,0.2640551,0.7499387
20,0.000380244,0.000621867,0.001719732,0.24078186,0.6592899
21,0.000253031,0.006652984,0.1332062,0.37985203,1.4372835
22,0.000156912,0.001808896,0.21561354,0.21514694,0.45590988
23,0.000343212,0.10709452,0.070592165,0.30285397,0.7194489
24,0.000757174,0.024619423,0.000479382,0.5912436,0.88444126
25,0.000364599,0.000164965,0.033881728,0.017377703,0.08504408
26,0.000142929,0.05836577,0.001460259,0.09854747,0.4370022
27,0.000217724,0.001897175,0.000563721,0.10039605,0.08877565
28,0.000192823,0.00011573,0.000452843,0.19089681,0.49602896
29,0.000203843,0.026154961,0.04178443,0.0518814,0.034712378
30,0.000118103,0.010594922,0.02745159,0.055798516,0.64193463
31,0.00028546,0.053987987,0.001393675,0.714477,0.33391875
32,0.000171802,0.000310765,0.000330163,0.019705815,1.1106948
33,0.000219972,0.000684145,0.002589941,0.04188755,0.05226317
34,0.001016986,0.024133088,0.001004208,0.002936306,1.2957777
35,0.00018349,0.021140752,0.000679952,0.39379296,0.050757416
36,0.000120532,0.000146916,0.000390267,0.21666826,0.22914687
37,0.000155181,0.024436291,0.001125712,0.16606176,0.78676
38,0.000102713,0.01268183,0.000385108,0.12816422,0.8799856
39,0.000213348,0.000139793,0.001085264,0.45143923,0.6571918
40,0.000125565,0.002834194,0.000579819,0.14509366,0.21861607
41,0.000403125,0.08984028,0.004270292,0.110306926,0.48802808
42,0.001308888,0.000885382,0.007225171,0.18137236,0.49974874
43,0.000115881,0.000691741,0.002325988,0.10795014,0.6244491
44,0.001205572,0.023233483,0.000321918,0.31221738,0.20774363
45,0.000398941,0.002112994,0.000235867,0.031000365,0.19299157
46,0.000576427,0.01050311,0.08292551,0.048544425,0.1137366
47,0.000382463,0.002033742,0.000163215,0.037045607,0.002948524
48,0.000111058,0.025428412,0.016934444,0.17036021,1.1826066
49,8.8509725e-05,0.000212684,0.001396122,0.14639509,0.8793533
50,8.2815e-05,0.001017414,0.000875001,0.000809133,0.6337215
