Iteration,MSE_estimated_NN_8,MSE_estimated_NN_7,MSE_estimated_NN_6,MSE_estimated_NN_5,MSE_estimated_NN_4
1,0.00041616394,0.032736544,0.008724522,0.30016744,0.65028864
2,9.7439864e-05,0.0071322764,0.0020721762,0.25567877,0.65860677
3,0.00028505543,0.0045722555,0.0041657444,0.27493694,0.25910032
4,0.00015075968,0.00037286466,0.09156503,0.09755424,0.4333978
5,0.0021633864,0.060207438,0.0011579009,0.08277554,1.0061253
6,0.0008811131,0.0007742003,0.0005747504,0.16503476,0.71189994
7,0.00019533875,0.016943235,0.03829321,0.14915873,0.022119187
8,0.0005710936,0.0010964004,0.0011995063,0.025778143,1.3011187
9,0.0037080417,0.0079941945,0.0006879135,0.036723677,1.6003029
10,0.00015597056,0.043817323,0.0008272129,0.3525032,0.6326263
11,0.0002070564,0.111798815,0.0010287345,0.109218106,0.027576888
12,0.00020013776,0.012273908,0.0021022006,0.2971125,0.24540797
13,0.0004126377,0.0016315706,0.0006767768,0.07651777,0.50250584
14,0.00026711466,0.0026469992,0.041683275,0.12656462,0.9591651
15,0.00036307075,0.030083759,0.011293238,0.10500141,0.32699826
16,0.0002007164,0.025015935,0.026113965,0.12480663,0.106935136
17,0.00017918336,0.0001337726,0.0017205889,0.1368394,0.11080597
18,0.00021665964,0.009212182,0.12748596,0.19271953,0.95689166
19,0.000248678,0.00040009842,0.012364181,0.21337071,0.24493162
20,0.0010493348,0.00027512314,0.0015277878,0.14492199,0.8446042
21,0.00021031185,0.059944753,0.00035394786,0.40509745,1.0905279
22,0.00022174866,0.010967921,0.0064053754,0.48158702,1.0782073
23,0.00025370606,0.0013997064,0.0002135524,0.13215071,0.83776885
24,0.00025019253,0.010864277,0.09787592,0.16439082,0.8038446
25,0.00016307253,0.0033813447,0.00065521704,0.587321,0.9555911
26,0.0003071883,0.010139759,0.027434802,0.038192872,0.87508845
27,0.00031048563,0.060063355,0.005415207,0.1996318,0.50978225
28,0.00031827218,0.0007744913,0.00041492496,0.16891281,0.5772714
29,0.0002809927,0.00094878016,0.004709601,0.00095484406,0.6744991
30,0.0003982676,0.13578488,0.0029940384,0.06698471,0.8391285
31,0.0002717372,0.026964698,0.00392851,0.12978132,0.07245021
32,0.0003684575,0.004522476,0.0012976985,0.124430224,0.45192456
33,0.0003553021,0.00042806138,0.08338379,0.11177424,1.2703985
34,0.00011137516,0.025651483,0.00057436404,0.42239547,0.59853655
35,0.000757588,0.0029527089,0.00378212,0.14286222,0.9902088
36,0.0001907049,0.00074548315,0.0002441954,0.13032769,0.84424466
37,0.0014696048,0.030846084,0.0002550058,0.8427832,0.88888025
38,0.0010387541,0.007617255,0.13178882,0.27991727,0.41121706
39,0.0008004195,0.0644136,0.06342441,0.28372017,0.58093596
40,0.00014154741,0.0006522189,0.06450128,0.15432605,0.78746694
41,0.00021293428,0.0010267049,0.0012286098,0.39995378,0.8193523
42,0.0002285664,0.1361286,0.00048182422,0.17213272,0.59068865
43,0.0005649553,0.00074865436,0.00022400581,0.35049948,0.22734463
44,0.00017218823,0.0391347,0.10453635,0.36142322,0.4745987
45,0.000235435,0.00022675468,0.18046726,0.19350624,0.021692907
46,0.00054757664,0.00085625565,0.020835027,0.3810684,0.792224
47,0.00023114905,0.035074506,0.011505745,0.6315289,0.08829278
48,0.00012276482,0.15419409,0.005227671,0.079711266,0.88958544
49,0.0002236824,0.000934297,0.00017855599,0.5420879,0.020993622
50,0.00018412039,0.0006894588,0.07447227,0.32748625,0.091216706
