Iteration,MSE_LocalGP,MSE_estimated_LocalGP
1,1.697901461739093e-05,0.8952491879463196
2,1.6646183212287724e-05,0.46984630823135376
3,2.2511097995447926e-05,0.6394362449645996
4,1.7864304027170874e-05,0.5231109261512756
5,7.347111932176631e-06,0.6019653081893921
6,8.847400749800727e-06,1.0036191940307617
7,1.3280277926241979e-05,0.6450859308242798
8,4.320303560234606e-05,0.6831425428390503
9,2.1522690076380968e-05,0.5994297862052917
10,4.368022200651467e-05,1.0215256214141846
11,1.9078916011494584e-05,0.6985777616500854
12,7.356732385233045e-05,0.7859522700309753
13,3.57604913006071e-05,0.962979257106781
14,2.3464930563932285e-05,0.7807786464691162
15,8.669906492286827e-06,0.7070975303649902
16,6.621236479986692e-06,0.5789331793785095
17,1.7216676496900618e-05,0.5817826986312866
18,1.8763334082905203e-05,0.5891526341438293
19,1.2640199201996438e-05,0.658658504486084
20,9.22179788176436e-06,0.7329997420310974
21,1.713345591269899e-05,0.6102684140205383
22,9.676094123278745e-06,0.8353672623634338
23,0.00010675316298147663,0.7810848951339722
24,2.2554610040970147e-05,0.6979251503944397
25,1.0032202226284426e-05,0.767853319644928
26,8.946217712946236e-05,1.0086184740066528
27,9.183208021568134e-06,0.8116139769554138
28,5.216830686549656e-06,0.6614415049552917
29,1.7750142433214933e-05,0.8802281022071838
30,9.382300049765036e-06,0.7102383971214294
31,2.7200161639484577e-05,1.2002016305923462
32,2.8947575628990307e-05,0.7525771260261536
33,1.1252233889536e-05,0.46081864833831787
34,1.0394624951004516e-05,0.8559255003929138
35,1.3302709703566507e-05,0.6590725183486938
36,1.0511364052945282e-05,0.5301216244697571
37,7.369170634774491e-05,0.8682402968406677
38,5.5628679547226056e-05,0.7273498773574829
39,6.391633360181004e-05,0.9157005548477173
40,1.27517032524338e-05,0.7371017336845398
41,3.0864146538078785e-05,0.5583724975585938
42,4.126193744014017e-05,0.6845920085906982
43,2.2952677682042122e-05,0.9140428900718689
44,1.5767718650749885e-05,0.9760208129882812
45,1.8621811250341125e-05,0.7319653630256653
46,4.2523079173406586e-05,0.7109479308128357
47,2.39859309658641e-05,0.7466143369674683
48,6.271367965382524e-06,0.5769528150558472
49,1.3329353350854944e-05,0.5924679636955261
50,8.655822603031993e-05,0.8914628028869629
