Iteration,MSE_NNLocalGP,MSE_estimated_NNLocalGP
1,9.474138641962782e-05,0.018110208213329315
2,4.6790864871582016e-05,0.00010330951045034453
3,0.00015374015492852777,0.06596090644598007
4,7.863434439059347e-05,0.00016608498117420822
5,9.980541653931141e-05,0.0024234354496002197
6,0.0001344557967968285,0.007839633151888847
7,8.387203706661239e-05,0.000325910747051239
8,3.863979145535268e-05,6.439969729399309e-05
9,7.044407539069653e-05,8.47429982968606e-05
10,4.466631799004972e-05,6.722416583215818e-05
11,0.00014546465536113828,0.0026660258881747723
12,0.00010876460873987526,0.005708950571715832
13,0.00010379150626249611,0.0014684443594887853
14,6.28154884907417e-05,0.037679485976696014
15,8.655202691443264e-05,0.00018663927039597183
16,0.00013955836766399443,0.03823836147785187
17,6.417196709662676e-05,0.00018764808191917837
18,0.0018700421787798405,0.0005123994778841734
19,7.464597729267552e-05,0.029900915920734406
20,0.00010789015504997224,0.006808046251535416
21,4.208298196317628e-05,0.013186581432819366
22,0.00018290452135261148,0.01899597980082035
23,0.00029812578577548265,0.001790330745279789
24,5.7596287660999224e-05,0.005776986479759216
25,0.00015562595217488706,0.2125660628080368
26,0.0013275620294734836,0.005632994696497917
27,6.651893636444584e-05,0.017647122964262962
28,6.249289435800165e-05,0.35651975870132446
29,3.0762723326915875e-05,0.0636330097913742
30,0.0001228839682880789,0.10854160785675049
31,0.00040620978688821197,0.0344715341925621
32,5.7570428907638416e-05,0.008398137055337429
33,0.00013865077926311642,0.011263753287494183
34,4.3761385313700885e-05,0.0851907804608345
35,5.1915132644353434e-05,0.013155734166502953
36,6.620193016715348e-05,0.03632029518485069
37,4.140525925322436e-05,0.009353945031762123
38,7.867055683163926e-05,0.0875493511557579
39,0.00010669104813132435,0.00022004410857334733
40,0.00033703248482197523,0.0002781169896479696
41,6.609265983570367e-05,0.01615871489048004
42,0.00011774253653129563,0.0258994959294796
43,6.731697067152709e-05,0.006844304967671633
44,5.4912703490117565e-05,0.018884042277932167
45,4.262207949068397e-05,0.027210183441638947
46,0.00010199927783105522,0.1744009256362915
47,0.0004985413397662342,0.05225273594260216
48,2.743667755567003e-05,0.00025407993234694004
49,4.137973883189261e-05,0.00010935037425952032
50,9.336872608400881e-05,0.0003301197721157223
