Iteration,MSE_NNMGP,MSE_estimated_NNMGP
1,6.182087236084044e-05,5.66069757041987e-05
2,1.3596652934211306e-05,2.629153459565714e-05
3,1.0056012797576841e-05,0.00010563441173871979
4,1.526030791865196e-05,8.409715519519523e-05
5,0.00046586236567236483,0.004406018182635307
6,0.0005960188573226333,0.02503061294555664
7,5.184787823964143e-06,3.563975042197853e-05
8,1.085413259716006e-05,3.354130603838712e-05
9,1.3384272278926801e-05,4.9384947487851605e-05
10,0.00042209861567243934,0.007464699447154999
11,0.0030085702892392874,0.0009045680053532124
12,2.501134258636739e-05,6.302550173131749e-05
13,1.1394981811463367e-05,5.227873407420702e-05
14,1.4561914213118143e-05,7.699788693571463e-05
15,0.0010684033622965217,0.00011798241757787764
16,0.0002655904390849173,0.0006041302694939077
17,0.0003690349985845387,0.002469063038006425
18,0.0005544777377508581,0.0135507732629776
19,0.00024250848218798637,0.03520439937710762
20,4.0986022213473916e-05,0.0011841119267046452
21,1.1266734873061068e-05,3.5969511372968554e-05
22,0.00038990203756839037,0.006618378218263388
23,8.500499825458974e-05,0.0010126718552783132
24,9.820543345995247e-05,0.028299270197749138
25,1.4680795175081585e-05,8.361489017261192e-05
26,7.82004208303988e-05,0.005977988243103027
27,2.8209518859512173e-05,0.00010888868564506993
28,0.0003931137907784432,0.0019862218759953976
29,1.4846040357952006e-05,8.498031820636243e-05
30,0.00011245530185988173,0.00750591279938817
31,1.0236178241029847e-05,3.439941065153107e-05
32,1.0531901352806017e-05,0.00018229600391350687
33,0.0002569628122728318,0.06685413420200348
34,1.4498948075925e-05,4.2025247239507735e-05
35,6.619404757657321e-06,1.9958479242632166e-05
36,1.8826805899152532e-05,6.814785592723638e-05
37,1.7695239876047708e-05,0.00015679716307204217
38,0.0004813650739379227,0.00047860562335699797
39,2.9369401090661995e-05,0.027971403673291206
40,5.121908543515019e-05,0.00010619356180541217
41,1.0011537597165443e-05,3.691119491122663e-05
42,2.592303826531861e-05,6.737909279763699e-05
43,2.4358902010135353e-05,9.941429016180336e-05
44,2.276230043207761e-05,0.012813707813620567
45,3.059805021621287e-05,0.046715639531612396
46,2.147732811863534e-05,5.458524901769124e-05
47,0.0002351412404095754,0.002074721036478877
48,4.441960118128918e-05,0.0002346866822335869
49,1.871072527137585e-05,0.005935146007686853
50,1.6985926777124405e-05,0.000298189464956522
