Iteration,MSE_LocalGP,MSE_estimated_LocalGP
1,2.642586196088814e-06,9.991847946366761e-06
2,1.0471614587004296e-05,7.1948993536352646e-06
3,4.887114300800022e-06,1.2812100976589136e-05
4,7.073419965308858e-06,1.1419720976846293e-05
5,3.1672386739955982e-06,7.501441814383725e-06
6,5.809721642435761e-06,1.0778745490824804e-05
7,1.558710755489301e-05,0.01288727205246687
8,1.19936585178948e-05,1.7907494111568667e-05
9,3.7219124351395294e-06,1.2490031622292008e-05
10,1.6120267900987528e-05,0.002785505959764123
11,2.5560536869306816e-06,1.116443036153214e-05
12,9.725700692797545e-06,1.8770177121041343e-05
13,1.0692192518035881e-05,1.4093261597736273e-05
14,1.1557540346984752e-05,1.907602563733235e-05
15,1.0959984138025902e-05,1.4783185179112479e-05
16,4.357771103968844e-06,1.0775663213280495e-05
17,2.8557399218698265e-06,1.2058468200848438e-05
18,1.2933662219438702e-05,0.0005178551655262709
19,3.585137847039732e-06,2.2625981728197075e-05
20,1.2171264643257018e-05,0.002170073101297021
21,2.7181456516700564e-06,1.9046474335482344e-05
22,6.290068995440379e-05,0.0019521439680829644
23,5.848763066751417e-06,1.2048069038428366e-05
24,8.070497642620467e-06,1.6059435438364744e-05
25,8.633896868559532e-06,1.1176165571669117e-05
26,4.516746230365243e-06,2.3779490220476873e-05
27,4.15103932027705e-06,1.2031936421408318e-05
28,7.036201623122906e-06,2.37000931520015e-05
29,5.610060725302901e-06,9.001196303870529e-06
30,4.613638793671271e-06,1.552178400743287e-05
31,3.0119190341793e-06,1.4824418940406758e-05
32,1.9116878320346586e-06,2.8507956812973134e-05
33,5.154379778105067e-06,6.13441807217896e-05
34,2.350288923480548e-05,0.022976521402597427
35,1.7355341697111726e-05,3.119336179224774e-05
36,4.7536018428218085e-06,1.1226024071220309e-05
37,9.48754222918069e-06,0.00017915808712132275
38,7.544907020928804e-06,0.011940417811274529
39,4.052212716487702e-06,1.549921762489248e-05
40,3.5634575397125445e-06,1.020202489598887e-05
41,8.44901387608843e-06,1.0206848855887074e-05
42,6.240686161618214e-06,1.3206456060288474e-05
43,3.5588861919677584e-06,1.5310679373214953e-05
44,6.420798854378518e-06,1.1045458450098522e-05
45,7.596385785291204e-06,1.069641893991502e-05
46,8.021885150810704e-06,7.555239335488295e-06
47,6.516501343867276e-06,1.595371031726245e-05
48,1.3702932619708008e-06,1.291782518819673e-05
49,1.5699142750236206e-05,0.007013421505689621
50,7.07684785083984e-06,1.0955005564028397e-05
