Iteration,MSE_MGP,MSE_estimated_MGP
1,2.458406697769533e-06,1.777584657247644e-05
2,2.7186590614292072e-06,1.6981033695628867e-05
3,1.3085817727187532e-06,1.7065111023839563e-05
4,1.7012492889989517e-06,1.9164477635058574e-05
5,1.2932454183101072e-06,1.4419207218452357e-05
6,2.3496997982874746e-06,1.0209864740318153e-05
7,1.951007106981706e-06,9.692186722531915e-06
8,2.7143489660375053e-06,1.7170828868984245e-05
9,3.1930549084790982e-06,2.6001276637543924e-05
10,1.4101261740506743e-06,1.4161170838633552e-05
11,1.7639806628722e-06,1.1033615919586737e-05
12,1.453848426535842e-06,2.593148201412987e-05
13,2.5020053726620972e-06,2.5390732844243757e-05
14,1.4840450148767559e-06,1.668635377427563e-05
15,2.6753659767564386e-06,3.207063491572626e-05
16,2.950798716483405e-06,1.6937879991019145e-05
17,2.401536676188698e-06,2.3678252546233125e-05
18,1.5254581740009598e-06,1.2877657354692928e-05
19,1.5424014918608009e-06,1.950589648913592e-05
20,1.4488165334114456e-06,1.1594379429880064e-05
21,1.2544608125608647e-06,1.2713736396108288e-05
22,2.2519889171235263e-06,1.093123501050286e-05
23,1.560928922117455e-06,1.6731679352233186e-05
24,1.5165240938586066e-06,1.2004709788016044e-05
25,1.451342996006133e-06,1.22160909086233e-05
26,1.5818075098650297e-06,2.344452695979271e-05
27,2.17475758290675e-06,2.207363286288455e-05
28,1.4169934274832485e-06,1.1683979209919926e-05
29,1.9051221897825599e-06,1.675567364145536e-05
30,1.432559088243579e-06,1.4207378626451828e-05
31,1.901746827570605e-06,1.1302899110887665e-05
32,1.0648137731550378e-06,1.0511256732570473e-05
33,1.939565891007078e-06,3.668881981866434e-05
34,1.38941322802566e-06,1.67175276146736e-05
35,1.8184109649155289e-06,1.107009120460134e-05
36,1.8263486936120898e-06,1.3027916793362238e-05
37,2.189832230214961e-06,1.6355445040971972e-05
38,1.0850852731891791e-06,1.1302385246381164e-05
39,2.0015265818074113e-06,1.3387623766902834e-05
40,2.797439265123103e-06,1.4165577340463642e-05
41,2.254929313494358e-06,9.481498636887409e-06
42,1.332521947006171e-06,1.885464007500559e-05
43,2.6069005798490252e-06,2.811584636219777e-05
44,2.259857410535915e-06,1.3602868421003222e-05
45,1.071050064638257e-06,1.5247748706315178e-05
46,1.9366048036317807e-06,1.9675011571962386e-05
47,1.4791994544793852e-06,1.131071985582821e-05
48,1.7680887367532705e-06,1.7810403733165003e-05
49,2.248290684292442e-06,2.1641990315401927e-05
50,1.870002165560436e-06,1.1855179764097556e-05
