Iteration,MSE_NN,MSE_estimated_NN
1,4.006321614724584e-05,0.0001773957337718457
2,5.174344914848916e-05,9.884144674288109e-05
3,4.37166600022465e-05,6.845899042673409e-05
4,2.9709457521676086e-05,6.637294427491724e-05
5,2.2461434127762914e-05,5.7293480494990945e-05
6,4.419111064635217e-05,0.00013752415543422103
7,3.308705709059723e-05,0.00010994340118486434
8,2.1964089683024213e-05,5.978449189569801e-05
9,4.943436215398833e-05,0.00010235619993181899
10,3.0618321034125984e-05,0.00010771880624815822
11,2.6422041628393345e-05,0.0001588310260558501
12,2.319630038982723e-05,0.0001637211680645123
13,2.427444633212872e-05,0.00012304146366659552
14,5.545852764043957e-05,0.00023883693211246282
15,4.047157199238427e-05,7.364788325503469e-05
16,1.9621511455625296e-05,5.9094327298225835e-05
17,3.5415047022979707e-05,0.00019670245819725096
18,2.038371894741431e-05,3.952772021875717e-05
19,2.5281187845394015e-05,0.000149008963489905
20,2.081069578707684e-05,9.134813444688916e-05
21,0.0013287932379171252,0.06441334635019302
22,5.5767159210518e-05,0.00017293993732891977
23,2.7956855774391443e-05,0.0002309038827661425
24,4.5913133362773806e-05,0.00010344075417378917
25,2.2271080524660647e-05,5.1095667004119605e-05
26,4.238537439960055e-05,7.818381709512323e-05
27,2.3583994334330782e-05,9.081363532459363e-05
28,0.0015428378246724606,0.002636033808812499
29,4.0627779526403174e-05,0.00010740311699919403
30,0.00011186971823917702,0.00042657688027247787
31,3.3136544516310096e-05,0.00016346997290384024
32,1.9353899915586226e-05,8.102439460344613e-05
33,5.395051630330272e-05,0.0001305426994804293
34,3.916768037015572e-05,0.0010676359524950385
35,3.59753830707632e-05,4.913592783850618e-05
36,5.053090717410669e-05,7.685394666623324e-05
37,2.8738211767631583e-05,5.813329335069284e-05
38,3.0176555810612626e-05,6.022061643307097e-05
39,0.00017892089090310037,0.00034205164411105216
40,3.647478297352791e-05,0.00023790834529791027
41,3.0819664971204475e-05,0.00012659229105338454
42,2.0420231521711685e-05,0.00011076190276071429
43,2.5687630113679916e-05,5.320516356732696e-05
44,3.185886816936545e-05,0.0003932028776034713
45,5.478168895933777e-05,0.00010907663818215951
46,4.2190367821604013e-05,0.00033669397816993296
47,2.787457015074324e-05,0.0001653454964980483
48,2.8597622076631524e-05,0.004305821843445301
49,2.3081682229530998e-05,7.526489935116842e-05
50,2.6996698579750955e-05,6.738667434547096e-05
