Iteration,MSE_MGP,MSE_estimated_MGP
1,2.8193355319672264e-05,0.3862278163433075
2,2.517710890970193e-05,0.166646346449852
3,2.1514810214284807e-05,0.0017646211199462414
4,2.8452581318560988e-05,0.034893948584795
5,6.158859468996525e-05,0.2899094223976135
6,2.7107340429211035e-05,0.22199659049510956
7,1.9532410078682005e-05,0.10948321223258972
8,1.791844806575682e-05,0.06377826631069183
9,2.5614281184971333e-05,0.16810829937458038
10,1.632034036447294e-05,0.00952786486595869
11,2.5138462660834193e-05,0.19049540162086487
12,4.894603625871241e-05,0.12056104838848114
13,2.3014699763734825e-05,0.10009356588125229
14,2.3162261641118675e-05,0.004223078489303589
15,2.7149508241564035e-05,0.38547661900520325
16,2.168374885513913e-05,0.09714756906032562
17,1.5678500858484767e-05,0.14481432735919952
18,2.2771197109250352e-05,0.13256700336933136
19,2.0705396309494972e-05,0.0007105591939762235
20,2.1905147150391713e-05,0.20615039765834808
21,2.5674793505459093e-05,0.05455295369029045
22,2.3028698706184514e-05,0.3766235411167145
23,3.921525785699487e-05,0.5854828357696533
24,1.74533088284079e-05,0.5290681719779968
25,1.816832627810072e-05,0.18090184032917023
26,2.7085436158813536e-05,0.6413798928260803
27,2.3962977138580754e-05,0.1987231820821762
28,2.1431818822748028e-05,0.34145864844322205
29,2.0846089682891034e-05,0.22796709835529327
30,2.269248216180131e-05,0.24900968372821808
31,3.3433134376537055e-05,0.4068203866481781
32,3.541657133609988e-05,0.16373172402381897
33,1.8310538507648744e-05,0.5453859567642212
34,1.891082683869172e-05,0.24654430150985718
35,3.1054871215019375e-05,0.08495353162288666
36,1.5968415027600713e-05,0.05369328707456589
37,1.7264253983739763e-05,0.047963012009859085
38,2.6367633836343884e-05,0.2354559749364853
39,2.2497817553812638e-05,0.059154339134693146
40,2.6368064936832525e-05,0.5076822638511658
41,2.689721623028163e-05,0.3572504222393036
42,3.0008995963726193e-05,0.3137219548225403
43,1.70753392012557e-05,0.1334000676870346
44,2.2654759959550574e-05,0.0987904965877533
45,4.265520328772254e-05,0.1087433248758316
46,3.0220789994928055e-05,0.06712377071380615
47,1.9226768927183002e-05,0.20117272436618805
48,2.01853927137563e-05,0.25288623571395874
49,1.9122368030366488e-05,0.15907742083072662
50,6.303437112364918e-05,0.10513506829738617
