Iteration,MSE_MVGP,MSE_estimated_MVGP
1,2.5312125217169523e-05,3.801352795562707e-05
2,1.5367653759312816e-05,0.00016059396148193628
3,0.0001379923924105242,0.0006966907531023026
4,0.0001464781817048788,0.0004118301148992032
5,1.3384499652602244e-05,4.810390964848921e-05
6,4.030326454085298e-05,6.998747267061844e-05
7,8.010542660485953e-05,0.0008341568172909319
8,2.3992659407667816e-05,7.335218106163666e-05
9,7.930440187919885e-05,0.00016868466627784073
10,5.249811874818988e-05,0.00010794350237119943
11,3.941522300010547e-05,6.845399184385315e-05
12,2.9019091016380116e-05,3.551440386218019e-05
13,4.5663604396395385e-05,0.08003504574298859
14,3.590153210097924e-05,0.000143872297485359
15,2.189484985137824e-05,6.567247328348458e-05
16,0.0001081420632544905,0.0002410763263469562
17,2.0712970581371337e-05,0.00011643771722447127
18,8.530172635801136e-05,0.0002992903464473784
19,0.00010305015166522935,0.00016139746003318578
20,3.0436840461334214e-05,6.569909601239488e-05
21,0.0007160097011364996,0.0033903704024851322
22,5.516785677173175e-05,0.0001357278088107705
23,3.838752309093252e-05,8.345104288309813e-05
24,0.00018853176152333617,0.0003195563331246376
25,0.00022198251099325716,0.00034760430571623147
26,0.0006472183158621192,0.0009474772959947586
27,0.00010292887600371614,0.0002030818141065538
28,4.805725620826706e-05,9.567385859554633e-05
29,6.725230923620984e-05,0.0001381218753522262
30,3.120582550764084e-05,0.00017787680553738028
31,0.0006370742339640856,0.007800070568919182
32,5.0884213123936206e-05,7.27683145669289e-05
33,0.00011873010953422636,0.010022415779531002
34,0.00019548626733012497,0.0004739405703730881
35,3.739718158612959e-05,0.00011975355300819501
36,2.8094667868572287e-05,9.997585584642366e-05
37,0.0005912988563068211,0.001853444380685687
38,0.00014958220708649606,0.00046386467874981463
39,0.00012619000335689634,0.0009126159129664302
40,5.273365241009742e-05,6.088699592510238e-05
41,0.00014622719027101994,0.0002465402940288186
42,3.673965693451464e-05,9.72587731666863e-05
43,5.8567558880895376e-05,0.0001673296355875209
44,3.672920502140187e-05,0.00013673795911017805
45,4.971001544618048e-05,0.00011756885214708745
46,7.503697270294651e-05,0.00043222689419053495
47,7.726602780167013e-05,0.0001841256453189999
48,2.0810104615520686e-05,0.00011209471995243803
49,0.00017035705968737602,0.07299353927373886
50,0.00016625515127088875,0.00048088186304084957
