Iteration,MSE_NNLocalGP,MSE_estimated_NNLocalGP
1,5.9348472859710455e-05,0.00023595575476065278
2,0.00010273313819197938,0.18283706903457642
3,9.036580740939826e-05,0.02062193676829338
4,0.00010121036757482216,0.00034681172110140324
5,0.00016806318308226764,0.06693118065595627
6,0.00010085901885759085,0.021502697840332985
7,0.0005550190689973533,0.0013924830127507448
8,0.000131105407490395,0.4781082570552826
9,7.299625576706603e-05,0.22943532466888428
10,8.17834006738849e-05,0.00910105463117361
11,8.974454249255359e-05,0.07565690577030182
12,7.095486944308504e-05,0.02921903319656849
13,5.128894554218277e-05,0.00020947934535797685
14,9.496683196630329e-05,0.36779651045799255
15,0.00010409751121187583,0.1635347604751587
16,0.00012173614231869578,0.12148698419332504
17,4.854176222579554e-05,0.21901105344295502
18,0.00013281959400046617,0.023041503503918648
19,7.604149868711829e-05,0.006027415860444307
20,0.00010330929944757372,0.05331648886203766
21,0.00010880877380259335,0.05556846410036087
22,0.00013980678340885788,0.009448553435504436
23,4.561776222544722e-05,0.00039589934749528766
24,0.00035342786577530205,0.0011011724127456546
25,3.845090031973086e-05,0.04539088159799576
26,0.0009756183135323226,0.009322660975158215
27,0.00010779053991427645,0.010239405557513237
28,5.0632559577934444e-05,0.34728875756263733
29,7.043893856462091e-05,0.0031195899937301874
30,9.90819389699027e-05,0.0003507448418531567
31,6.169373955344781e-05,0.00012252325541339815
32,4.40461553807836e-05,0.0020069049205631018
33,3.507717337924987e-05,0.006676273420453072
34,6.472335371654481e-05,0.03701150789856911
35,0.0001531601301394403,0.059548161923885345
36,7.881295459810644e-05,0.09333376586437225
37,0.00011426325363572687,0.14482253789901733
38,4.866387462243438e-05,0.022075915709137917
39,0.00032264174660667777,0.46868377923965454
40,5.0829989049816504e-05,0.00023434108879882842
41,0.0002989735803566873,0.00025802565505728126
42,3.8873702578712255e-05,9.14508564164862e-05
43,8.849659207044169e-05,0.08232574909925461
44,3.2918487704591826e-05,0.00014285756333265454
45,0.0002244527859147638,0.05304206907749176
46,5.8692476159194484e-05,0.0003346645680721849
47,6.140745244920254e-05,0.13712812960147858
48,2.3965871150721796e-05,0.00022437178995460272
49,0.00010342871973989531,0.21773451566696167
50,9.068467625183985e-05,0.00031673884950578213
